
Apolssalian = Аполсэлія, аполсэльскі, аполсэльцы
Ariorum = Арыёрум, арыёрумскі, арыёры
Cortanian = Кортанія, кортанскі, кортаны   (dey Cortain - Кортэн)
Dryatican = Драятыя, драятычны, драяты
Khergit = Хергіт, Хергіцкі
Lyrion = Лірыя, лірыйскі, лірыйцы
Nordling = Нордлінг, нордлінскі, нордлінгі
Paleician = Палейцыя, Палейцкі, палейцы 
Rebel Khuzait = Паўсталыя Хузаіты, паўсталахузаіцкі, паўсталыя хузаіты
Republic = Рэспубліка, рэспубліканскі, рэспубліканцы
Rhodok = Родак, родаскі, родакі 
Vagir = Вагір, вагірскі, вагіры
