Settlements.Settlement.text.town_NL1	Зальцэнмунд, сталіца імперскай электаральнай правінцыі Нордлянд і самастойнае княства Імперыі, ляжыць сярод узгоркаў, адкуль сьцякаюць прытокі, што ўтвараюць Зальц — раку, якая дала гораду назву. Графы-электары збудавалі на вяршынях высокія замкі над горадам, што вырас на былым месцы сходаў заходніх нашчадкаў племені ютанаў. Подступ да замку Ютанава Гняздо такі вузкі, што яму ня трэба абарончага муру: магутны замак проста стаіць і пільнуе край. Мясцовыя кажуць, што граф-электар бачыць усю правінцыю з вакна троннай залі, якое глядзіць на захад, каб ён мог сачыць за эльфамі Лаўрэлорну.
Settlements.Settlement.text.village_NL1_1	Бэкерховен — ажыўлены гандлёвы горад імперскага Нордлянду, вядомы як Брама Нордлянду. Ён стаіць на дарозе Мідэнхайм — Эрэнград. Навакольныя лясы славяцца цяжкімі, ад прыроды крывымі галінамі, прыдатнымі для выгнутых частак караблёў, таму на іх вялікі попыт.
Settlements.Settlement.text.village_NL1_2	Травяністы амфітэатар за горадам служыў месцам сустрэчаў Імперыі з эонірамі. Драўніну сплаўляюць уніз па рацэ на продаж у Зальцэнмунд; баржы таксама возяць сельскагаспадарчыя тавары, срэбра й волава.
Settlements.Settlement.text.village_NL1_3	Куртвален — вёска паляўнічых і лоўчых за 64 кілямэтры на поўнач ад Зальцэнмунду, у лясным краі далёка ад іншых гарадоў. Дзьвесьце гадоў таму, падчас апошняга ўварваньня Хаосу, тут кішэлі няўяўныя пачвары й брыдоты. Сярод ордаў Хаосу была зграя ваўкалакаў. Іх адкінулі ў лес, а потым вынішчылі храмоўнікі Белага Ваўка. Пасьля дзесяцігодзьдзяў спакою паляўнічыя й лоўчыя... Хоць у вёсцы няма заезнага двара, падарожнікі могуць начаваць у сьвірне над стайнямі. Той, хто ўсё ж застанецца на ноч звонку, будзе няспынна бачыць рухомыя цені й чуць удалечыні скавытаньне мясцовых ваўкоў.
Settlements.Settlement.text.village_NL1_4	Ольдэнліц — малы гарняцкі горад імперскага Нордлянду. Ён ляжыць на паўднёвы захад ад Зальцэнмунду, на высьпе возера Дамэнлаўб. Ад берагу да надбрамнай вежы цягнецца грэбля, дастаткова шырокая, каб разьехаліся два вазы. Селішча ўзьнікла ў цэнтры групы саляных капальняў.
Settlements.Settlement.text.town_NL2	Дзітэрсхафен — прыморскі горад Нордлянду й цяперашняя база Другога флёту імперскага вайсковага флёту. Гэта найважнейшы марскі порт Імперыі. На карабельнях кіпіць праца: майстры будуюць новыя судны для Другога флёту. Славутая Дзітэрсхафенская партовая варта патрулюе й трэніруецца на набярэжнай. Пастаўнікі таргуюцца за горы салёнай сушанай рыбы, велізарныя аб'ёмы слабога піва й скрыні карабельных сухароў. Усім кіруе барон Людальф Кёлер, які спадзяецца збудаваць флёт, мацнейшы за брэтонскі ці марыенбурскі. Горад квітнее. Сюды няспынна ідзе драўніна, а купцы багата зарабляюць на шчодрых мараках. Дварфскія майстры за немалую плату ўдасканальваюць гарадзкія муры — гістарычна слабае месца абароны порту. Калі ўмееце трымаць молат, кіраваць лодкаю ці біцца, у Дзітэрсхафене знойдзецца праца.
Settlements.Settlement.text.village_NL2_1	Люфтберг — вёска на нордляндзкім узьбярэжжы, за дзень язды на поўнач ад Зальцэнбургу. Тут стаяў храм Ульрыка. Пасьля нападу, верагодна, высокіх эльфаў храм зьнік, а на ягоным месцы паўстаў абэліск, які спальвае сінім агнём кожнага, хто дакранецца. Большасьць сялянаў — земляробы й лесарубы.
Settlements.Settlement.text.town_NL3	Ноес Эмскранк быў першым портам Нордлянду, адкрытым у 2460 годзе імперскага летазьлічэньня дзеля перавабліваньня гандлю з Марыенбургу. Спроба правалілася. Правы на былую малую рыбацкую вёску Пугсблятэр купіла група ўкладальнікаў на чале з шарлатанам Енсам-Пітэрам Рымансам. Яе падтрымлівалі тры графы-электары, некалькі меншых, але багатых і ўплывовых шляхцічаў ды імперскія купецкія дамы. Яны плянавалі стварыць два порты, што перанялі б гандаль Марыенбургу, пазбавіўшыся тамтэйшых пасярэднікаў і павялічыўшы ўласныя прыбыткі. Дзеля гэтага ў 2460 годзе Пугсблятэр выкупілі й перайменавалі ў Ноес Эмскранк. Мясцовых прымусова перасялілі ў навакольле Вільгельмскагу, а на іхнае месца прывезьлі каляністаў. Картэль збудаваў новыя дамы й крамы, уклаў грошы ў склады для чаканага патоку тавараў і новыя гандлёвыя каравэлы, што мусілі стаць авангардам флёту. Натуральна, усё скончылася поўнай катастрофай.
Settlements.Settlement.text.village_NL3_1	Хайлігдорф — рэлігійная вёска, прысьвечаная Манану. Большасьць жыхароў ловіць рыбу ці служыць у імперскім флёце. Вёска — адна з наймацнейшых апораў нордляндзкіх маракоў, якая аддае ім шмат сыноў на вайну.
Settlements.Settlement.text.town_NL4	Нордэн стаіць на ўсходнім краі затокі Дросэльшпулэ ў Нордляндзе. Насамрэч яго таемна рыхтуюць як базу для дасьледаваньня й заваёвы Люстрыі, а таксама выкарыстоўваюць для перавозкі вязьняў у Леапольдхайм у Паўднёвых Землях. Перавага Нордэну перад іншымі партамі — блізкасьць вялікага гандлёвага шляху Мідэнхайм — Эрэнград. Да нядаўняга часу гэта быў адкрыты горад, дзе купцы з Мідэнхайму, Нордлянду й заходняга Остлянду гандлявалі з партамі Мора Кіпцюроў на вялікіх плоскіх суднах, прыдатных для тутэйшых плыткіх пяшчаных пратокаў. Цяпер чужынцаў не пускаюць. Альлебарднікі дзяржаўнага войска разварочваюць вазы за некалькі міляў ад Нордэну. Гандлёвы пункт пры заезным двары «Карона Манана» ў Зальцморасьце дазваляе купцам гандляваць, не набліжаючыся да гораду.
Settlements.Settlement.text.village_NL4_1	Белен — вялікі горад на дарозе Мідэнхайм — Эрэнград. Хоць ён, магчыма, ня мае прамой гаспадарчай выгады ад свайго становішча, яно гадамі ратуе яго ад паўночных рабаўнікоў: Крайдэкліпэ й Зальцмораст — багацейшыя цэлі. Умацаваньні й малы флёт Нордэну стрымліваюць набегі на ўзьбярэжжа. Да таго ж самі берагі цяжкія для плаваньня. Галоўныя тавары — збожжа й воўна.
Settlements.Settlement.text.village_NL4_2	Гельтынг — гандлёвы пункт на дарозе Мідэнхайм — Эрэнград, дзе караванам прадаюць пераважна рыбу, злоўленую ў Крайдэкліпэ. Тут таксама ёсьць дом уцехаў «Напеў Русалкі», дзе большасьць маракоў пакідае цяжка заробленыя грошы.
Settlements.Settlement.text.village_NL4_3	Крайдэкліпэ — рыбацкая вёска з даволі вялікім флётам. Большасьць ураджэнцаў ловіць рыбу ці гандлюе ёю. Праз сваё становішча вёска часта становіцца ахвяраю норсканскіх набегаў.
