Settlements.Settlement.text.town_LL1	Тор Літанэль — сталіца ляснога эльфійскага гаспадарства эоніраў, у Вобласьці Сонца ў цэнтры Лаўрэлорну. Гэта рэдкі ацалелы прыклад старажытнай архітэктуры высокіх эльфаў. За гарадзкімі мурамі з дапамогаю магіі гадуюць экзатычныя пладовыя й арэхавыя дрэвы. Вялізныя самацветы амаль на кожным будынку ўтрымліваюць душы памерлых эльфаў, назаўжды зьняволеныя ў стазісе, каб уратаваць іх ад паглынаньня Хаосам. Здалёк гэтыя камяні душаў ловяць сьвятло й прымушаюць горад зьзяць. Людзі, што падыходзілі дастаткова блізка, каб убачыць веліч Тор Літанэлю, празвалі яго Шкляным Горадам.
Settlements.Settlement.text.village_LL1_1	Ісьцін Ваул Мэнлуіт Хайш, вядомы сьмяротным як Вясёлкавы Вадаспад, — малы эльфійскі хутар на мяжы Вобласьцяў Сонца й Марозу. Абломкі магутных абэліскаў старажытнай эльфійскай магіі ўпалі ў воды вадаспаду й насыцілі яго ўсімі васьмю Вятрамі Магіі, сугучнымі з суседнімі шляхавымі камянямі. Шмат вучняў Ваула зьбіраецца пад вадаспадам і выкарыстоўвае насычаную ваду, вецер Хамон і слабую форму Акшы, каб халоднаю коўкаю ствараць выдатную зброю й панцыры.
Settlements.Settlement.text.village_LL1_2	Густы гай лістоўніц і піхтаў каля Тор Літанэлю сьвяты для прыхільнікаў Сарыэля, бога сноў. Утаптаныя сьцежкі раптам абрываюцца ля шляхавых камянёў на ўскрайку. За абвіслымі галінамі пад заслонамі лішайніку пануе цяжкая злавесная цемра. Пілігрымы-эоніры баяцца тутэйшых духаў і аддаюць перавагу мэдытацыі дзеля сонных відзежаў на ўскрайку. У цэнтры гайку ляжыць зарослы разбураны амфітэатар, старэйшы за эльфійскіх каляністаў. Каралева Лаўрэлорну ведае, што гэта насамрэч партал Старажытных у далёкі Авэлорн праз таемнае вымярэньне «Соньлівы Лес». Аднак партал пашкоджаны, праз што Соньлівы Лес нестабільны й пераход у Авэлорн немагчымы.
Settlements.Settlement.text.village_LL1_3	Фантан Лебіна — вёска каля Тор Літанэлю. Яна мае выключна выгаднае становішча ў вялізнай каменнай катлавіне, якая ачышчае апаганеную рачную ваду з-за Даліны Роспачы. Гэтыя чыстыя воды робяць навакольныя землі багатымі й урадлівымі, сілкуюць пасевы й дрэвы, забясьпечваючы патрэбы эоніраў.
Settlements.Settlement.text.town_LL2	Се-Атыл — вартавая вежа эоніраў на скале над Морам Кіпцюроў. Гэта горды сымбаль культуры асураў, продкаў эоніраў. Велізарная вышыня дазваляе магічна назіраць надвор'е аж да Альбіёну, а таксама пільнаваць Затопленыя Лясы на поўдні — прытулак людзей-мутантаў. Калі Морсьліб расьце, высокія прылівы затапляюць прыбярэжны лес, пакідаючы саланаватыя балоты й скамянелыя дрэвы, прыдатныя для балотных дэманаў. Вежа таксама служыць арыенцірам імперскім маракам, што плаваюць уздоўж берагу паміж Марыенбургам і Нордляндам. У Се-Атыле жыве Кая Фанмарыс, Захавальніца Бураў і вікарыюс Высокай Рады Лаўрэлорну, якую ў Вэйстляндзе называюць Буравай Ведзьмай.
Settlements.Settlement.text.castle_village_LL2_1	Сарыэльрайн — эонірскае селішча на сьцежцы ўздоўж узьбярэжжа Лаўрэлорну. Вільготны вецер з Мора Кіпцюроў стварае ідэальныя ўмовы для моцных дрэваў і буйнейшых, чым звычайна, пладоў.
Settlements.Settlement.text.castle_village_LL1_2	Скала Фарысара — рыбацкая вёска на скалістым узьбярэжжы Мора Кіпцюроў. Гэта першы прыпынак імперскіх караванаў на дарозе на поўнач ад Лаўрэлорну. Тутэйшыя эоніры здабываюць у моры няскончную колькасьць рыбы, пакідаючы лес некранутым. На паўночным беразе ёсьць пячоры, увайсьці ў якія можна толькі падчас адліву. Эоніры пакідаюць там дары Матлану. Часам норсканскія рабаўнікі хаваюць у іх нарабаванае падчас непагадзі.
Settlements.Settlement.text.castle_village_LL2_3	Ляйхафен прытуліўся ў вусьці Шаўкельну — пабітая вятрамі гавань, афіцыйна залічаная да Нордлянду, хоць тамтэйшыя гаспадары ніколі асабліва не імкнуліся замацаваць свае правы. Далёкае ад сапраўднай імперскай абароны й прыціснутае да межаў Лаўрэлорну селішча здаецца лёгкаю здабычаю. Яно заціснутае паміж набегамі зялёнаскурых з навакольнай дзічы й доўгімі караблямі норсканскіх рабаўнікоў Мора Кіпцюроў. Але Ляйхафен трымаецца, і сваім выжываньнем ён больш абавязаны вострым вушам, чым імперскім мячам. {newline}{newline} Для эльфаў Лаўрэлорну гавань мае вялікае стратэгічнае значэньне. Безь Ляйхафену зьнік бы адзіны надзейны марскі шлях паміж Тор Літанэлем і Се-Атылам, а зь ім — адзіны прамы выхад эоніраў да Мора Кіпцюроў. Узаемная залежнасьць спарадзіла незвычайную ўгоду: эльфы даюць абарону, гавань — свае прыстані, і ніхто не задае лішніх пытаньняў. Угода стала такой зручнай, што невялікая колькасьць эоніраў пасялілася ў самім Ляйхафене. Гэта выклікае зьдзіўленыя позіркі імперскіх купцоў і трывожныя шэпты ў карчмах, хоць мясцовыя даўно перасталі зьвяртаць увагу. {newline}{newline} Селішча хваліцца яшчэ адным бласлаўленьнем. Воды Шаўкельну незвычайна чыстыя — амаль ненатуральна, — і просты люд упарта верыць у іхную гаючую сілу. Пілігрымы й зьнявераныя кажуць пра зьніклыя мутацыі, загоеныя старыя раны й клінкі, асьвечаныя гэтаю вадою, што мацней б'юць апаганеных Хаосам, прапальваючы іхную скрыўленую плоць, нібы кляймо. Ці гэта праўда, забабоны або нешта яшчэ дзіўнейшае, ніводзін вучоны калегіяў пакуль не палічыў патрэбным дасьледаваць. А рыбакі не чакаюць навуковага меркаваньня. «Пляшачкі гайльвасэру» — сьвятой вады, як яны яе празвалі, — прадаюць на кірмашы за цэны, ад якіх пачырванеў бы альтдорфскі аптэкар.
Settlements.Settlement.text.castle_LL2	Нагляднікі Марозу вандруюць, каб даглядаць супольныя лясы й не дапускаць імперскіх пасяленцаў на ўсход ад Дэмсту. Нягледзячы на вандроўны лад жыцьця, іх часта бачаць каля Арот Лорэну. Гэтая эонірская крэпасьць — апора супраць няспынных спробаў Нордлянду далучыць гэтыя землі, а таксама супраць выпадковых ордаў зялёнаскурых і зьвералюдаў.
Settlements.Settlement.text.castle_village_LL3_1	Праз надзвычай вільготны клімат на поўдні Лаўрэлорну склаліся ідэальныя ўмовы для дрэваў і расьлінаў, якія іначай не расьлі б у гэтых шыротах. Эоніры заснавалі Латайн, каб карыстацца новымі багацьцямі лесу.
