Settlements.Settlement.text.town_ML1	Велічны Мідэнхайм, паводле чутак заснаваны самім богам вайны Ўльрыкам, належыць да найвялікшых і наймацней умацаваных гарадоў Імперыі. Праз такое меркаванае паходжаньне яго часта завуць Ульрыксбургам, Фаўхшлагам ці Горадам Белага Ваўка. Ён стаіць на велізарнай гары й служыць сядзібаю графа-электара Мідэнлянду й культу Ўльрыка. Ад часу заснаваньня яго ніколі не заваёўвалі: гэта цьвярдыня паўночнай Імперыі.
Settlements.Settlement.text.village_ML1_1	Значную частку Мідэнлянду пакрывае Драквальд. У гэтых цёмных злавесных лясах вёскі ледзь зводзяць канцы з канцамі, як і Нордэрынген. Людзі нарыхтоўваюць якасную драўніну й мяняюць яе на самае неабходнае, пільна сочачы за шматлікімі істотамі, што хаваюцца ледзь па-за межамі зроку.
Settlements.Settlement.text.village_ML1_2	Адна са шматлікіх лесанарыхтоўчых вёсак, раскіданых па Мідэнляндзе. Яна перажыла нямала ўзьлётаў і падзеньняў, але, у адрозьненьне ад менш шчасьлівых суседзяў, пакуль не загінула ад якой-небудзь трагедыі — ні ў мінулым, ні цяпер.
Settlements.Settlement.text.village_ML1_3	Арэнберг зручна ляжыць паміж велічным Мідэнхаймам і мяжою Хохлянду, непадалёк ад фартэцы Імэльшайд, што ахоўвае дарогу ў Хохлянд. Блізкасьць герцагства Імэльшайд, чый кар'ер забясьпечвае каменем увесь Мідэнлянд, прыводзіць у Арэнберг мноства наведнікаў, якія іначай ніколі б сюды не патрапілі.
Settlements.Settlement.text.village_ML1_4	Глыбока ў лясах адразу на поўнач ад Мідэнхайму гэтыя загартаваныя людзі нястомна працуюць, каб забясьпечыць сабе хоць нейкае жыцьцё. Многія гінуць ад пагрозаў, што хаваюцца сярод дрэваў, але просты люд усё адно не здаецца.
Settlements.Settlement.text.town_ML2	Аленхоф — адзін з буйнейшых гарадоў Мідэнлянду й адзін з прыпынкаў славутай раскошнай лініі Гіндэлін з Альтдорфу ў Талабхайм. Яна прыносіць шмат гандлю й падарожнікаў з усёй Імперыі. Праз горад праходзіць значная частка мідэнляндзкай драўніны й сельскагаспадарчых тавараў, адкуль іх адпраўляюць туды, дзе яны найбольш патрэбныя.
Settlements.Settlement.text.village_ML2_1	У гэтай вёсцы ёсьць рэдкасьць для ўсяго Старога Сьвету — водалячэбніца. Хоць асновай жыцьця застаецца натуральная гаспадарка, такая незвычайная раскоша прынесла Бад Хонэ вялікую карысьць: за карыстаньне ёю бяруць немалую плату.
Settlements.Settlement.text.village_ML2_2	Лер стаіць на мяжы з Хохляндам каля Талабэку. Гэта адна зь нямногіх вёсак з адкрытымі абшарамі, дзе можна гадаваць сьвіней у дадатак да звычайнага гандлю драўнінаю. Як і астатнія жыхары Мідэнлянду, тутэйшыя сяляне рупліва моляцца Ўльрыку сярод штодзённых справаў.
Settlements.Settlement.text.village_ML2_4	Зручна прытуліўшыся да аднаго са шматлікіх адгалінаваньняў Талабэку, што цягнуцца на поўнач, гэтая вёска служыць домам загартаваным жывёлаводам. Яны спраўна адпраўляюць сваіх жывёлаў ці проста мяса ў гандлёвы горад Аленхоф.
Settlements.Settlement.text.town_ML3	Каробург — былая сталіца Мідэнлянду, калі той быў аддзелены ад Мідэнхайму й вядомы як правінцыя Драквальд. Цяпер гэта гандлёвы асяродак, асабліва вядомы шкларобствам. Горад поўны гісторыі: ён быў сядзібаю караля тэўтагенаў і сталіцаю Імперыі за драквальдзкіх імпэратараў. Гэта дом славутых Каробурскіх Вялікіх Мячоў і сядзіба аддзяленьня ордэну Палаючага Сонца, таму горад застаецца грознаю крэпасьцю Імперыі.
Settlements.Settlement.text.village_ML3_1	Непадалёк ад Каробургу ляжыць Анзэльдорф — адна зь першых вёсак, якія сустракаюць падарожнікі з Райклянду ў Мідэнлянд. Крыху далей на поўнач пачынаюцца Мідэнскія Балоты зь іхнымі змрочнымі водамі.
Settlements.Settlement.text.village_ML3_2	Барэнфэрэ — адна са шматлікіх вёсак уздоўж Талабэку. Тут ёсьць паром, таму празь вёску часта перапраўляюцца на іншы бераг; яна таксама прымае мноства купцоў, падарожнікаў і раскошных пасажырскіх суднаў, што ідуць Талабэкам.
