Settlements.Settlement.text.town_PA1	Паравон, даўно збудаваны эльфамі, высечаны ў самотнай гары Ле-Мон-Сёль і цягнецца ўздоўж Грымэры. Глыбокія прорвы атачаюць гэты важны горад-крэпасьць, што не дапускае ворагаў з Шэрых Гораў і далейшых земляў у цэнтральную Брэтонію. Такое становішча прывабіла шмат дварфскіх сем'яў. Гэта таксама адзінае месца Брэтоніі, дзе сяляне могуць жыць у каменных дамах. Прычына — юрыдычная хітрасьць: жытлы, якія яны высякаюць у скале Ле-Мон-Сёль, лічацца «пячорамі» й таму не забароненыя.
Settlements.Settlement.text.village_PA1_1	Алабруа славіцца сваімі асаблівымі конегадоўцамі нават у Паравоне, дзе пераважна карыстаюцца пэгасамі. Вёска даволі людная, сюды часта прыяжджаюць і шляхта, і падарожнікі.
Settlements.Settlement.text.village_PA1_2	Непадалёк ад Шэрых Гораў ляжыць Жаньсьян — малая вёска, што займаецца пераважна здабычаю жалеза ў гарах. Праз стратэгічную вагу яе часта патрулююць: Жаньсьян — адна з апораў паравонскай гаспадаркі.
Settlements.Settlement.text.village_PA1_3	Гваярд каля перавалу Шэрай Лэдзі мае нямала сялянаў і рушэньня. Як першая брэтонская вёска за перавалам, ён добра абаронены й стратэгічна важны.
Settlements.Settlement.text.town_PA2	На поўнач ад Паравонскага Лесу, адразу за Ўзгоркамі Мёртвых, і на ўсход ад замку Паравон ляжыць Грунэр. Становішча ля падножжа Шэрых Гораў дае добрую абарону, а Ўзгоркі Мёртвых дапамагаюць бараніць паўднёвы бок.
Settlements.Settlement.text.village_PA2_1	Клемансо — вёска на паўдарозе паміж замкам Грунэр і лесам Атэль Лорэн.
Settlements.Settlement.text.village_PA2_2	Малая гарняцкая вёска Ветар ляжыць проста на поўдзень ад Грунэру, за Ўзгоркамі Мёртвых. Бедныя жыхары навучыліся самі бараніцца ў небясьпечныя часы.
Settlements.Settlement.text.village_PA2_3	Малы кляштар абацтва Ла Мезанталь служыць домам шматлікім манахам Тааля. Тут жывуць Сьвятыя Нагляднікі Ла Мезанталю: гэтыя баявыя манахі вучацца вайсковаму рамяству й далучаюцца да Рыцараў Грааля ў паходах па рэліквіі.
Settlements.Settlement.text.castle_village_PA1_1	На захадзе Паравону, каля межаў Манфору, Лаваль падтрымлівае цесныя адносіны з суседнім Этуа. Яны часта гандлююць таварамі, мяняючы, напрыклад, сыравіну на скуры. У Дзень Лілеі ў абедзьвюх вёсках спраўляюць шмат вясельляў і ладзяць малое сьвята.
Settlements.Settlement.text.castle_village_PA1_2	Табане — малая ваенізаваная вёска, дзе жыве большасьць вартаўнікоў рушэньня замку Вэнт'ен. Хоць галоўны занятак — вырошчваньне пшаніцы, і сяляне, і варта гатовыя бараніць дамы цаною жыцьця.
Settlements.Settlement.text.castle_PA2	Замак Шамбанэ ахоўвае паўднёвую мяжу Паравону з Кенэлем і служыць першай лініяй абароны ад нападаў з поўдня Брэтоніі.
Settlements.Settlement.text.castle_village_PA2_1	Адразу на паўднёвы захад ад замку Паравон ляжыць Лесеўр з багатымі запасамі драўніны. Вёска вельмі заможная, бо замку патрэбны вугаль для кузьняў, што вырабляюць зброю й панцыры.
Settlements.Settlement.text.town_BA1	У сэрцы Бастону замак Бастон і суседнія вёскі захоўваюць шмат сьлядоў заснавальніка — першага караля Жыля лю Брэтона, ці Жыля Аб'яднальніка. Сам замак амаль заўсёды служыць месцам пілігрымкі Рыцараў Грааля й усіх, хто хоча ўбачыць сьведчаньні подзьвігаў Жыля лю Брэтона.
Settlements.Settlement.text.village_BA1_1	Проста на ўсход ад Бастону Сэнт-Эцьен пільнуе ўсходнюю мяжу з Манфорам. На шырокіх зялёных палях бастонскія поні вольна размнажаюцца й ахвотна кантактуюць зь людзьмі. Яны нават дастаткова разумныя, каб разумець: бастонцы добра абараняюць іх ад шматлікіх істотаў і пачвараў Буйнаоркалу.
Settlements.Settlement.text.village_BA1_2	На поўнач ад Буйнаоркалу малы Вішы церпіць няспынныя набегі зялёнаскурых і дзіўных пацукападобных зьвералюдаў. У мінулым старэйшыны мусілі нават «супрацоўнічаць» з гэтымі пацукападобнымі істотамі, каб пазьбегнуць зьнішчэньня. Гэта загартаваныя сяляне, што перажылі шмат пакутаў.
Settlements.Settlement.text.village_BA1_3	На сакавіта-зялёных палях Арыяку сяляне жывуць з гандлю быдлам, скурамі й мясам. Аднак пасьля шматлікіх дзесяцінаў прыбытку застаецца вельмі мала, і вёска трымаецца пераважна на супольным земляробстве.
Settlements.Settlement.text.town_BA2	На поўначы Бастону, на Грымэры каля манфорскай мяжы, стаіць малы горад Суд. У самым сэрцы Брэтоніі ягоныя кірмашы поўныя тавараў з усёй краіны, нават замежных — з Імперыі й ад лясных эльфаў Лорэну. Праз блізкасьць Манфору адносіны напружаныя; даўней паміж герцагствамі адбывалася шмат памежных войнаў.
Settlements.Settlement.text.village_BA2_1	Клермон-Феран — малая рыбацкая вёска на Грымэры насупраць манфорскай мяжы. Яна застаецца невялікай, бо вывозіць няшмат рыбы.
Settlements.Settlement.text.village_BA2_2	Ісуар на поўначы Бастону — пераважна земляробчая грамада зь некалькімі малымі жытламі для шукальнікаў прыгодаў і пілігрымаў на шляху ў замак Бастон.
Settlements.Settlement.text.village_BA2_3	Цьер на самым поўначы Бастону стаіць на мяжы Жызарэ. Гэта малы гандлёвы асяродак, які наведваюць шматлікія караваны з суседняга герцагства, але апошнім часам ён моцна пакутуе ад жахлівых набегаў зьвералюдаў з Ардэнскага Лесу.
Settlements.Settlement.text.castle_BA1	Замак Гарамон ахоўвае паўднёвую мяжу Бастону каля заходняй мяжы Бардэло й пільнуе лес Шалён і падножжа гораў Буйнаоркал. Гарнізон адбіў шмат зялёнаскурых захопнікаў.
Settlements.Settlement.text.castle_village_BA1_1	Амбер шмат разоў рабавалі, спусташалі й зьнішчалі зялёнаскурыя з Буйнаоркалу. Калар Гарамонскі паслаў шмат сем'яў зноў засяліць Амбер у марнай надзеі, што вёска працягне нарыхтоўваць драўніну ў лесе Шалён.
Settlements.Settlement.text.castle_village_BA1_2	У адрозьненьне ад нешчасьлівага Амберу, Манлюсон квітнее, пастаўляючы большасьць сваіх коней у стайні замку Гарамон, а рэшту — проста ў Бастон. Калар добра яго абараняе, і некаторыя жыхары выправіліся зноў засяляць Амбер.
Settlements.Settlement.text.castle_BA2	Перад самаю мяжою Жызарэ стаіць крэпасьць Сангас, што пільнуе пачвараў і істотаў з Ардэнскага Лесу. Тутэйшы рыцарскі гарнізон ужо спыніў шмат набегаў зьвералюдаў.
Settlements.Settlement.text.castle_village_BA2_1	Пад абаронаю замку Сангас Кюсэ мае малыя паклады солі каля берагу Грымэры. Большасьць солі адпраўляюць проста на кухні й склады замку Бастон.
Settlements.Settlement.text.castle_village_BA2_2	Шатэль-Гюён, збудаваны ў рэштках малога замку, — невялікая земляробчая грамада, што вырошчвае лён. Дзякуючы становішчу палі багатыя й даюць надзвычай шмат шоўку. Многія жыхары вераць, што такія ўраджаі прынесьлі вялікія бітвы, якія некалі адбываліся менавіта на гэтых палях.
Settlements.Settlement.text.castle_BA3	На Грымэры, проста насупраць праклятага Музільёну, непахісна стаіць замак Рыём у полі зроку нежыці, што палохае Брэтонію. Многія ратнікі гарнізону чулі жахлівыя гукі з супрацьлеглага берагу.
Settlements.Settlement.text.castle_village_BA3_1	Ляпс — дом загартаваных мужчын і жанчын, якія стагодзьдзямі мусяць бараніць жытло ад небясьпекаў Музільёну. Многія добраахвотна просяцца на службу да свайго абаронцы Люкі Лю, каб самім несьці вайну змучаным істотам, што завуць Музільён домам.
Settlements.Settlement.text.castle_village_BA3_2	Проста на ўсход ад жахлівага Музільёну ляжыць Ард. На хутар неаднойчы нападалі бандыты, дарожныя разбойнікі й нават культысты. Блізкасьць Музільёну заўсёды рабіла яго лёгкаю здабычаю для жахаў, што жывуць у ягоных густых туманах.
Settlements.Settlement.text.town_BL1	Горад-крэпасьць Бардэло на старажытным каменным падмурку — бадай, найважнейшая гавань Брэтоніі, зь якой супернічае толькі Ліён. Замак Бардэло стаіць на скале над гаваняй і пільнуе ўвесь вялікі горад ды суседнія марскія шляхі. Кажуць, абложныя машыны на мурах і ўмелыя інжынэры могуць патапіць прышвартаваную вёславую лодку, не пашкодзіўшы суседніх. Тут два галоўныя сьвятыя месцы гаспадарства: Першая Капліца замку Бардэло, найсьвяцейшая капліца Грааля ў краіне, і храм Манана, які, паводле некаторых, супернічае нават з марыенбурскім.
Settlements.Settlement.text.village_BL1_1	На самым беразе Вялікага Акіяну ляжыць Сэнт-Жуньен. Вёска названая ў гонар Рыцара Грааля, што даўно абараніў мясцовых сялянаў ад таямнічых марскіх д'яблаў. Жыхары й цяпер спадзяюцца на Манана ў здабываньні пражытку, але наведнікі заўважаюць: адным вокам яны нібы ўвесь час сочаць за марскім даляглядам.
Settlements.Settlement.text.village_BL1_2	На дарозе паміж Цюрэнам і Бардэло ляжыць Эгр — ідылічнае месца, дзе сяляне звычайна задаволеныя, а збожжа багата.
Settlements.Settlement.text.village_BL1_3	Навакольле Ніёру славіцца вінаграднікамі. Іхныя плады даюць прыемнае чырвонае віно, улюбёнае многімі шляхцічамі ўсёй Брэтоніі.
Settlements.Settlement.text.town_BL2	Хоць Цюрэн — просты сялянскі горад, пагарджаць ім ня варта. Людзі жывуць пад абаронаю герцага; большасьць працуе на навакольных палях, але некаторыя заняліся рамяством ці гандлем каля гарадзкога пляцу. Цюрэн залежыць ад лішкаў Бардэло: купцы, якім патрэбны просты прыпынак, часта знаходзяць тут таньнейшыя пакоі й прыпасы.
Settlements.Settlement.text.village_BL2_1	Адасоблены Партэнэ сярод скалаў стаіць на ўзгорку над землямі Бардэло й Музільёнам праз Грымэры. Людзі носяць соль зь ніжніх пляжаў, пакуюць яе й адпраўляюць на поўдзень у Цюрэн.
Settlements.Settlement.text.village_BL2_2	Жыхары Англету ганарацца гадоўляю адных з найлепшых верхавых коней па гэты бок Буйнаоркалу. Штогод сяляне зьбіраюць табуны й гоняць іх на кірмаш у Бардэло.
