Settlements.Settlement.text.town_AL1	З Каралеўскага Гаю Арыэль і Арыён кіруюць Атэль Лорэнам. Ім дапамагае рада, у якой цяпер пятнаццаць уладароў і ўладарак са схаваных гаспадарстваў, што квітнеюць пад дрэвамі. Каралеўскі Гай — вялізная, велічная паляна, акружаная неверагодна тоўстымі старажытнымі дубамі. Хоць горад велізарны, неспрактыкаванае вока амаль ня можа яго ўбачыць. Ён зьліваецца зь лесам, і няўважлівыя вандроўнікі ды ворагі лёгка праходзяць міма. На працягу стагодзьдзяў ткачы чараў стваралі горад сярод дрэваў вакол Каралеўскага Гаю. Галіны вялікіх дубоў прымушалі сплятацца ў пераходы й навесы, галерэі й скляпеньні. Таму ўсе будынкі й пакоі цалкам складаюцца з жывых дрэваў, галін і лісьця. Пад зямлёю тымі ж спосабамі стварылі вялікія паражніны паміж пераплеценымі каранямі.
Settlements.Settlement.text.village_AL1_1	Тал Эт Айр — селішча лясных эльфаў пад шатамі Дуба Вякоў. Тут шмат лясных духаў, якія часта ўдзельнічаюць у штодзённым жыцьці азраяў. Вёску атачае чароўны лес, а ў ёй самой мноства капішчаў багоў азрайскага пантэону.
Settlements.Settlement.text.village_AL1_2	Азрайская заля Тал Кулон — малое селішча на ўсход ад Ін Эдрыл Койрану й на поўнач ад Тыр Ваны. Край поўны магіі й лясной жывёлы, асабліва дзікіх коней. Мясцовыя эльфы добра ведаюць табуны, што блукаюць навокал. Часам яны ўсталёўваюць сувязь з адным з коней і могуць ехаць на ім у бой.
Settlements.Settlement.text.village_AL1_3	Азрайская заля Тал Говарн ляжыць на поўнач ад Дуба Вякоў. Навакольле — адно з найўрадлівейшых у Атэль Лорэне, з шырокімі абшарамі дзікай садавіны.
Settlements.Settlement.text.village_AL1_4	Тал Мерыян — адна з малых заляў Каралеўскага Гаю. Яна стаіць на важнай дарозе паміж Дубам Вякоў і Скалістымі Залямі Фіндола. Сюды часта прыходзяць сьпевакі чараў, каб правесьці абрады ў навакольлі.
Settlements.Settlement.text.town_AL2	Відрыёт, Сасновыя Скалы, — высокае гаспадарства Атэль Лорэну пад уладаю гайнога лорда Фіндола й лэдзі Эвэліны. Гэты край няспынна ваюе з дварфамі й зялёнаскурымі з Шэрых Гораў. Насамрэч Сасновыя Скалы — велізарная крэпасьць. Тут эльфы стварылі цытадэлі й цьвярдыні з высачэзных дубоў, а са скальнага цярноўніку — бясконцыя лігі вузлаватых пераплеценых муроў. Лябірынт пераходаў і ўмацаваных каранямі тунэляў зьвязвае заставы ў адзінае жывое ўмацаваньне, здольнае адбіць паўнавартасны наступ.
Settlements.Settlement.text.village_AL2_1	Усе жыхары Тал Юль-Фінелю — дасьведчаныя ў баях ваяры, якія змагаліся зь незьлічонымі ворагамі з Шэрых Гораў. Заля стаіць ля самага іх падножжа. Дварфы й зялёнаскурыя няспынна нападаюць на лес, імкнучыся зьнішчыць дарагую эльфам радзіму.
Settlements.Settlement.text.village_AL2_2	Тал Варыган амаль увесь час бароніцца ад дварфскіх нападаў. Дварфы спрабуюць зьнішчыць лес, а жыхары кідаюць усе сілы на забойства захопнікаў. Галоўны тавар Тал Варыгану — срэбра, здабытае як ваенныя трафэі з дварфскіх караванаў і капальняў.
Settlements.Settlement.text.town_AL3	У Атыльвіце вечна пануе зіма, і кажуць, што сэрцы ягоных жыхароў зробленыя зь лёду. Лясныя духі Зімовага Сэрца заўсёды млявыя ці сьпяць, таму бясьпека гаспадарства здаўна залежыць ад эльфаў. Вечнай Варты тут больш, чым у любым іншым гаспадарстве. Край заціснуты ў ледзяных абдымках зімы: галіны заўсёды пакрытыя густым інеем, а гаі патанаюць у сьнезе. Бледныя статуі стаяць уздоўж кожнай сьцежкі й ля ўваходу ў кожную залю. Адны — вытанчаныя ледзяныя скульптуры, створаныя цярплівымі рукамі майстра. Іншыя — гарэзьлівыя наяды ці зласьлівыя кельпі, зьняволеныя эльфскай магіяй у лёдзе за мінулыя правіны ці дзеля прадухіленьня будучых. Калі на іх ніхто не глядзіць, гэтыя статуі цякуць і мяняюць форму: істоты ўнутры няспынна шукаюць уцёкаў.
Settlements.Settlement.text.village_AL3_1	Заля Тал Амер пакрытая лёдам. У ёй стаяць вялікія старажытныя ледзяныя скульптуры азрайскіх багоў. Паколькі тутэйшыя духі сьпяць, залю моцна ахоўвае Вечная Варта. Часам са скульптураў чутныя галасы: ці гэта галасы багоў, ці яны служаць іншай мэце?
Settlements.Settlement.text.village_AL3_2	Дрэвы Тал Дросту — слупы, пакрытыя сьнегам і лёдам. Лёд утварае над заляю дах, які бароніць эльфаў ад сьнегападу. Пад гэтым ледзяным заслонам азраі знайшлі спосаб вырошчваць расьліны й забясьпечваць сябе ежаю ў засьнежаным краі.
Settlements.Settlement.text.village_AL3_3	Паміж залямі Эквоса й Коэт-Марай ляжыць гандлёвая застава Тал Мора. Тут захоўваюць вялікія запасы прывезенай ежы для азраяў Атыльвіту, чые землі няўрадлівыя й пакрытыя лёдам.
Settlements.Settlement.text.town_AL4	Залы Анарэт, узьведзеныя лордам Анарэтам у Пару Адраджэньня, служаць сядзібаю лэдзі Тэварыля й лэдзі Дэлінны. Магутныя залы пад вялікім дрэвам у цэнтры Ўладаньня Вяненьня з часам умацоўвалі ўсё больш, асабліва пасьля апаганьваньня Адайвоху.
Settlements.Settlement.text.village_AL4_1	Побач з Баляванымі Залямі Танцу Вайны эльфы Тал Хакану часта ў вясёлым настроі: яны або толькі вярнуліся з уладаньняў Лоэка, або зноў рыхтуюцца туды.
Settlements.Settlement.text.village_AL4_2	Залы Тал Брыянда ляжаць на поўдзень ад Заляў Анарэт і служаць заставаю для нагляду за замкам Кенэль. Тут жыве шмат вартавых сьцежак, навучаных весьці выведку на ўскрайках Атэль Лорэну.
Settlements.Settlement.text.village_AL4_3	Тал Валерын, заля каля Дзікага Пустэча — бязьлюднага рэдкалесься й лугоў паміж уласна Атэль Лорэнам і Брэтоніяй, — звыкла да нягодаў. Гэты край асабліва ўразьлівы да ўварваньняў капытных пачвараў. Аднак тутэйшым эльфам не бракуе ўпартай стойкасьці.
Settlements.Settlement.text.village_AL4_4	Заля Тал Ронд каля Вісарыйскай цясьніны служыць назіральным пунктам за сіламі, што часта зьбіраюцца вакол Адайвоху, і за суседнім Паравонам.
Settlements.Settlement.text.town_AL5	Фір Даррык, Лес Шэльмы, — высокае гаспадарства Атэль Лорэну пад уладаю лэдзі Гегрыі Маскавай. Гэта сьвятая зямля эльфскага бога Лоэка Шэльмы, дзе шмат капішчаў славяць ягоны бунтарскі дух. Тут жа стаяць Баляваныя Залы Танцу Вайны — найбліжэйшае падабенства дому для вандроўных Танцораў Вайны Атэль Лорэну. Таму ў гаях Фір Даррыку заўсёды гучыць сьмех.
Settlements.Settlement.text.village_AL5_1	Трэлок — магутнае дрэва, у якім адгукаюцца песьні й сьмех Лоэка. Каля яго часта можна сустрэць Танцораў Вайны, што сьмяюцца й танчаць.
Settlements.Settlement.text.town_AL6	Модрын, Начныя Даліны, — адно з дванаццаці гаспадарстваў Атэль Лорэну. Ім кіруюць лэдзі Марляна й лорд Арлас. Ад усіх іншых краёў яго адрозьнівае вечная ноч. Калі Мараці атруціла душу Арыэль, цемра ахапіла лес. Астатні лес ачуняў разам з Арыэль, але Модрын з таго часу застаўся цёмным. Ягоныя эльфы такія ж змрочныя, як навакольле. Яны практыкуюць цёмную магію, забароненую ў іншых частках Атэль Лорэну.
Settlements.Settlement.text.village_AL6_1	Заля Тал Сторнас — паўднёвая застава, прызначаная адбіваць брэтонскіх захопнікаў з герцагства Каркасон. Палоннаму чалавеку другога шанцу ня даюць: як толькі ён трапіць у Модрын, яго чакае цёмнае вядзьмарства.
Settlements.Settlement.text.village_AL6_2	Талрэнік атачае цёмная магія, бо тутэйшыя азраі ахутаныя цемраю. Чужаземных вандроўнікаў, што набліжаюцца да яго, больш ніхто ня бачыць.
Settlements.Settlement.text.castle_AL1	Торгаван, таксама вядомы як Кузьня Зорнага Сьвятла, — гаспадарства ў лесе Лорэн пад уладаю лорда Дайта. Гэта адзіны край Атэль Лорэну, дзе агонь — сьвяты сымбаль. Кавадла Ваула служыць і храмам, і кузьняю: штоночы тут куюць зброю. Буйны агонь вабіць лясных духаў, але яны трымаюцца воддаль, ведаючы пра яго надзвычайную небясьпеку.
Settlements.Settlement.text.castle_village_AL1_1	Заля Довар — адзін з найбуйнейшых пастаўнікоў неапрацаванага жалеза для лорда Дайта. Кавадла Ваула куе зброю дзень і ноч. Бесьперапынная праца кузьні патрабуе бесьперапынных паставак, і заля Довар стагодзьдзямі адказвае на гэты покліч.
Settlements.Settlement.text.castle_AL2	Каварок, Абшары Нябеснай Мяжы, — высокае гаспадарства Атэль Лорэну пад уладаю лорда Эдраэля з Эквоса. Гэта край лугавых палянаў і травяных раўнінаў з рэдкімі дрэвамі на паўднёвай мяжы лесу. Эльфы Кавароку — адны з найлепшых коньнікаў сьвету й першымі выступаюць на гук баявых рагоў. Яны хуткія ў дзеяньні й хуткія на гнеў. Амаль напэўна на чале шалёнай атакі будуць Гайныя Вершнікі Нябеснай Мяжы.
Settlements.Settlement.text.castle_village_AL2_1	Азраі Тал Амары — прыроджаныя коньнікі. Пакаленьнямі адсюль выходзяць найлюцейшыя Гайныя Вершнікі Атэль Лорэну. Жыхары гэтай залі хутка гневаюцца й не баяцца ўжываць сілу дзеля разьвязаньня спрэчак.
Settlements.Settlement.text.castle_AL3	Аргвілон, ці Гаі Месяцовай Крыніцы, — адно з дванаццаці гаспадарстваў Атэль Лорэну пад уладаю лорда Таляндора Зоркі Выраку. Магіі тут значна больш, чым у любым іншым краі лесу; цуды адбываюцца штодня. Гэта адно зь нямногіх месцаў Атэль Лорэну, дзе вядуць гістарычныя запісы, падобныя да ўльтуанскіх. Толькі тутэйшыя эльфы ведаюць старажытную мову арлоў. Аднак яны славяцца пыхаю й лічаць сябе вышэйшымі за ўсіх іншых эльфаў. Размова эльфа зь іншага гаспадарства з эльфам Аргвілону — рэдкая зьява.
Settlements.Settlement.text.castle_village_AL3_1	Локрымер ляжыць паміж Тал Энда Варыянам і Вадаспадным Палацам Наяднага Двара. Дрэва служыць заставаю для нагляду за паўночнай мяжою Атэль Лорэну.
Settlements.Settlement.text.castle_village_AL3_2	Наядны Двор — месца сьвятла й цудаў, дзе рэкі поўныя жывых наядаў, а вадаспады сьпяваюць прывіднымі галасамі. Прыродная абарона з вады спрадвеку захоўвае бясьпеку тутэйшых духаў і эльфаў.
Settlements.Settlement.text.castle_AL4	Аранок, таксама вядомы як Летні Бераг, — адно з дванаццаці гаспадарстваў Атэль Лорэну. Тут заўсёды лета, а ў некаторых мясьцінах ноч настае рэдка. Таму лясныя духі Летняга Берагу асабліва моцныя. Аранокам кіруе Амадры Жалезная Кара — былы лясны эльф-шляхціч, які стаў дрэвасуродзічам. Гаспадарству няспынна пагражае небясьпека, бо на ягонай мяжы ляжаць Зімовыя Сховішчы.
Settlements.Settlement.text.castle_village_AL4_1	Летняе Дрэва — адно з найбуйнейшых і найстаражытнейшых дрэваў Атэль Лорэну. Яно сягае неба й чэрпае сілу ад сонца. Пад ягонымі шатамі жыве шмат азраяў, якіх цень бароніць ад вечнага лета.
