Settlements.Settlement.text.castle_KH1	Важны шахтарскі форт, умацаваны для абароны скарбаў гэтага багатага краю.
Settlements.Settlement.text.castle_village_KH1_1	Дварфская вёска сярэдніх памераў. Яна мае ўласны хор, і тут чуваць гучныя сьпевы работнікаў.
Settlements.Settlement.text.castle_KH2	Вялікае селішча, дзе любяць музыку. Тут шмат майстэрняў музычных інструмэнтаў, а таксама дварфскіх музыкаў і выканаўцаў народных сьпеваў.
Settlements.Settlement.text.castle_village_KH2_1	Флутфілд гэтак дасканала ўлоўлівае вецер і гук Рагавой Цьвярдыні, што флейта можа выдаваць незвычайны тон. Сюды прыходзяць многія музыкі-пілігрымы, каб пачуць гэты ўнікальны гук.
Settlements.Settlement.text.town_KG1	Карак-Гантук — адна з трох буйных дварфскіх цьвярдыняў вакол Шэрых Гораў. Яе моц даволі абмежаваная ў параўнаньні зь іншымі дварфскімі гаспадарствамі, але дзякуючы капальням і гандлю з Імперыяй яна застаецца заможнай.
Settlements.Settlement.text.village_KG1_1	Малое дварфскае селішча ў горнай даліне. Гэта галоўны гандлёвы асяродак даві Карак-Гантуку й вісэнляндцаў.
Settlements.Settlement.text.village_KG1_2	Малы лесанарыхтоўчы лягер, які дварфы выкарыстоўваюць для самых розных патрэбаў.
Settlements.Settlement.text.castle_KG1	Малая капальня, схільная да абвалаў, таму дварфы аддаюць перавагу падрыву пароды й пошуку руды сярод абломкаў.
Settlements.Settlement.text.castle_village_KG1_1	Жалезная капальня з кузьняю, дзе дварфы ачышчаюць жалеза ад дамешкаў і робяць зьліткі перад адпраўкаю ў Карак-Гантук.
Settlements.Settlement.text.castle_KG3	Казад Кол — дварфская крэпасьць, такая ж цёмная, як гара, на якой яна стаіць.
Settlements.Settlement.text.castle_village_KG2_1	Малая капальня ў Шэрых Горах. Тут працуе каля 70 дварфаў з Карак-Гантуку.
Settlements.Settlement.text.castle_village_KG2_2	Грунг Кол, на кхазалідзе «Чорная Капальня», — адзін са шматлікіх вугальных руднікоў Шэрых Гораў.
Settlements.Settlement.text.town_AN1	Крэпасьць Карак-Ангазхар — дварфскае селішча ў Чорных Горах, каля імперскай правінцыі Аверлянд, зь якой даві падтрымліваюць цесны гандаль. Яе багацьце й значэньне далёкія ад Каразу-а-Караку ці дварфскага порту Барак-Вар. Аднак для Імперыі яна надзвычай важная: падзеньне караку дазволіла б захопнікам абысьці імперскую абарону перавалу Чорнае Полымя й адкрыла б шлях у Аверлянд.
