Settlements.Settlement.text.town_RL1	Альтдорф — бадай, найвялікшы горад Імперыі, а можа, і ўсяго вядомага сьвету; памерамі й значнасьцю зь ім супернічаюць толькі Марыенбург, Нульн і Эрэнград. З гэтага вялізнага гораду імпэратар Карл Франц кіруе і Вялікім княствам Райклянд, і Імперыяй Сігмара. Хіба можна знайсьці лепшую сталіцу за горад, заснаваны самім Сігмарам дзьве з паловаю тысячы гадоў таму? Апроч гісторыі, Альтдорф мае выгаднае геаграфічнае становішча як гандлёвы асяродак трох чвэрцяў Імперыі: усе тавары й падарожнікі з Остэрмарку, Талабэклянду, Хохлянду, Шцірлянду, Вісэнлянду й Аверлянду мусяць прайсьці тут, перш чым рушыць уніз Райкам да Марыенбургу й далей. У горадзе таксама месьцяцца шматлікія рыцарскія ордэны, цэнтар Царквы Сігмара й восем імперскіх калегіяў магіі. Нягледзячы на росквіт і значнасьць, Альтдорф неспакойны: перанаселены й гатовы выбухнуць палітычным гвалтам, гэты цудоўны горад і ягоныя службы працуюць на мяжы магчымасьцяў.
Settlements.Settlement.text.village_RL1_1	Фрэдэрхайм — малая райкляндзкая вёска адразу на поўнач ад Альтдорфу, на дарозе Альтдорф — Мідэнхайм. Хоць яна належыць Карлу Францу й уваходзіць у альтдорфскія ўладаньні, імпэратар фактычна перадаў нагляд за ёю культу Шаліі. Гэта адбылося на просьбу культу выдзеліць месца для абнесеных мурам прытулку для хворых і санаторыю.
Settlements.Settlement.text.village_RL1_2	З усходняга боку сутоку Таалю й Райку стаіць вёска Кальдах. Яна адметная найперш тым, што пазначае мяжу Райклянду й Талабэклянду. У астатнім гэта малая земляробчая грамада.
Settlements.Settlement.text.village_RL1_3	Проста на захад ад Альтдорфу, паміж Райкам і каналам Вайсбрук, ляжыць вёска Хахлоф. Яна вядомая сваім гатункам збожжа — хахлофкорнам, які вельмі цэняць за выдатную муку.
Settlements.Settlement.text.town_RL2	Пры зьліцьці Райку й Шыльдэру стаіць Шыльдэрхайм. Пад уладаю графа Робэрта фон Улянда горад служыць важным рачным кірмашом ніжэй за Альтдорф і адным з апошніх прыпынкаў для гандляроў на Райку перад Марыенбургам.
Settlements.Settlement.text.village_RL2_1	Хольтхузэн — горад на захадзе Райклянду, на рацэ Шыльдэр, паміж Айльхартам і Шыльдэрхаймам. Ягоны галоўны тавар — хольтхузэнскія бочкі-хогсхэды, якія па ўсёй Імперыі выкарыстоўваюць для вытрымкі й браджэньня прадуктаў перад адпраўкай. Кажуць, бочкі такія трывалыя, што здольныя зьберагчы зьмесьціва нават ад прамога гарматнага трапленьня. Штогод тут ладзяць Вайнфэст — вялікае сьвята дэгустацыі вінаў, куды пускаюць толькі па запрашэньні. Вядома, яго адсутнасьць не спыняе процьму п'яніцаў і нягоднікаў, што прагнуць бясплатнага віна. Вайнфэст — таксама адзіны час году, калі выносяць Залатую Бочку, у якой нібыта захоўваецца найлепшае віно Імперыі, калі ня ўсяго Старога Сьвету. Празь лясное становішча на горад часта нападаюць зьвералюды. Частаколу й варты звычайна хапае, каб адагнаць пачвараў, але гараджане баяцца дня, калі абарона ня вытрымае. Таму некаторыя пакідаюць бочкі таннага віна на ўскрайку лесу, спрабуючы задобрыць зьвералюдаў данінай. Наўрад ці гэтаму сумнеўнаму звычаю дазволяць існаваць яшчэ доўга.
Settlements.Settlement.text.village_RL2_2	Айльхарт застаецца на мапе дзякуючы папулярнасьці свайго белага віна. Айльхарцкае віно — адно з найлепшых у Райкляндзе, яго цэняць за сьвежы лёгкі смак і слабое пахмельле. Сюды ладзяць рачныя вандроўкі: багатыя купцы й шляхта з Альтдорфу часта плывуць уверх па рацэ каштаваць мясцовыя віны й стравы. Кажуць, шмат жыхароў мае брэтонскія карані; наведнікі часта заўважаюць у іх падобныя рысы твару.
Settlements.Settlement.text.town_RL3	Ля ўваходу ў перавал Укус Сякеры стаіць Хэльмгарт. Пад уладаю маркграфа Райнгарда фон Макензэна гэты горад-крэпасьць служыць і гаспадарчаю, і вайсковаю мяжою паміж Брэтоніяй і Імперыяй. Укус Сякеры — адзін з трох перавалаў праз Шэрыя Горы, таму бясьпека праходу мае першараднае значэньне. Сам Хэльмгарт — гандлёвы горад, абкружаны некалькімі абарончымі мурамі. Адзін зь іх перакрывае ўсю шырыню перавалу, таму кожны мусіць прайсьці празь ягоную адзіную браму ці застацца на брэтонскім або імперскім баку мяжы.
Settlements.Settlement.text.village_RL3_1	Усінген — малая вёска на дарозе паміж Хольтхузэнам і Осбургам. Тут заканчваецца суднаходны для баржаў адцінак Шыльдэру, таму шмат грузаў для Хэльмгарту спачатку прыбывае сюды. Людзі вырошчваюць збожжа ўздоўж ракі й ходзяць у суседнія Шэрыя Горы здабываць руду. Селішча добра прыкрытае мурамі Хэльмгарту й насамрэч баіцца толькі насельнікаў Райквальду.
Settlements.Settlement.text.village_RL3_2	Морленфурт — малая вёска каля вытокаў Бёгену. Яна вядомая срэбнымі капальнямі й невялікаю грамадою дварфаў, што спрыяюць гандлю срэбрам у Райкляндзе.
Settlements.Settlement.text.town_RL4	Бёгенхафэн — значны гандлёвы горад на абодвух берагах Бёгену. Ён стаіць на паўдарозе паміж Альтдорфам і Манфорам, што дазваляе захоўваць гаспадарчую вагу амаль пры любых нягодах. Паўночны бок, вядомы як Яма, — найменшая й найбяднейшая частка гораду. На паўднёвым баку сканцэнтравана большасьць багацьця й усе важныя ўстановы, у тым ліку храмы й ратуша. Гарадзкая рада кіруе ад імя графа Вільгельма фон Сапонатхайма.
Settlements.Settlement.text.village_RL4_1	Ля падножжа перавалу Укус Сякеры ляжыць Осбург — апошняе імперскае селішча перад гандлёвай крэпасьцю Хэльмгарт і мяжою з Брэтоніяй. Усе грузы для Хэльмгарту спачатку мусяць прайсьці праз Осбург, і гэты гандаль робіць мясцовых купцоў даволі заможнымі.
Settlements.Settlement.text.village_RL4_2	На поўнач-паўночны захад ад Бёгенхафэну ляжыць лесанарыхтоўчая вёска Херцхальд. Глыбока ў Райквальдзе яна славіцца якасьцю й даўжынёю свайго бярвеньня, большую частку якога адпраўляюць у Бёгенхафэн і Грунбург для суднабудаваньня.
Settlements.Settlement.text.town_RL5	Уберсрайк — адзін з найважнейшых гандлёвых асяродкаў Райклянду. Ён стаіць паабапал важнага мосту на дарозе з Бёгенхафэну ў Дункельберг. Гандаль ідзе і дарогаю, і ўніз па рацэ да Аўэрсвальду, Грунбургу, Кемпербаду й Альтдорфу. Блізкасьць перавалу Шэрай Лэдзі таксама робіць Уберсрайк ідэальным месцам, дзе купцы, што перасякаюць Шэрыя Горы, могуць перагрузіць тавары з рачнога транспарту на сухаземны й наадварот.
Settlements.Settlement.text.village_RL5_1	Грайсбах — лясная вёска адразу на поўнач ад Уберсрайку. Людзі асьцярожна нарыхтоўваюць суседні лес і вырошчваюць усё, што могуць, на палянах вакол вёскі. Даўно ходзяць трывожныя чуткі пра змрочны маёнтак адразу на ўсходзе, дзе нібыта жыве вялікае зло.
