Settlements.Settlement.text.castle_village_BL3_2	Сяляне Лімёю ідуць у крайнія скалы Буйнаоркалу шукаць месцы для гліняных кар'ераў. Яны прыносяць шмат гліны, але й апавядаюць пра істотаў, сустрэтыx ля падножжа гораў. Мясцовы пан неаднойчы пасылаў латнікаў у перадгор'і. З кім яны там біліся, большасьць ня ведае.
Settlements.Settlement.text.town_BE1	Пярліна Брэтоніі, як запэўніваюць брыёнцы, — выдатны горад зь мясцовага белага каменю й якаснага пяску сваёй затокі, якім Брыён таксама славіцца. Становішча добра абараняе горад: самотныя вежы над навакольлем могуць вытрымаць цэлыя арміі з малым гарнізонам. Найважнейшы будынак — Заля Мэнэстрэляў, дзе шмат будучых бардаў і мэнэстрэляў удасканальваюць майстэрства. Яе атачае вялікі сад, які падчас вайны можа стаць пасткаю для зьнішчэньня захопнікаў. Прыгожы круглы будынак з паліраванага белага каменю мае ўнутры залю з бездакорнаю акустыкай, якой музыкі карыстаюцца ў любую гадзіну дня й ночы.
Settlements.Settlement.text.village_BE1_1	На беразе Вялікага Акіяну Лурд ледзь корміцца рыбалоўствам, пастаўляючы «сьвежую» рыбу проста ў замак Брыён.
Settlements.Settlement.text.village_BE1_2	Турнфёй — апошняе селішча на Брыене перад замкам Брыён. Тут даглядаюць вялікія статкі быдла, забясьпечваючы значную частку патрэбаў герцагства ў мясе.
Settlements.Settlement.text.village_BE1_3	Бакор — даволі заможная земляробчая вёска каля Брыёну, скрыжаваньне шляхоў паміж ім і суседнімі вёскамі. Празь яе ідзе шмат людзей; дзякуючы мясцовай мытні яна крыху багацейшая за іншыя, але такая ж занядбаная.
Settlements.Settlement.text.town_BE2	Гэтае месца ў мінулым перажыло шмат норсканскіх аблогаў. Адкалі Алярон Адважны дапамог абараніцца ад Б'ёрна Жалезназмрочнага й ягонай арміі наймітаў, набегі на Брыён значна парадзелі. Дзякуючы стратэгічнаму становішчу Шато Францьер захоўвае шмат рэліквіяў крыжовых паходаў.
Settlements.Settlement.text.village_BE2_1	Праз Люнэль ідзе шмат падарожнікаў — рыцараў у прыгодах і купцоў, бо вёска блізка да мосту ў Каркасон. Таму яе даглядаюць лепш за іншыя, каб шляхта, што праяжджае, магла хоць неяк трываць гэты выгляд.
Settlements.Settlement.text.village_BE2_2	Аддалены Гаяк ня мае шмат наведнікаў, далёкі ад галоўных дарог і часта незаўважны. Але адсюль няспынна выходзяць караваны з ураджаем у Шато Францьер. Вёска — ажыўлены асяродак гэтых паставак і адзін з найбуйнейшых ды найважнейшых вытворцаў ежы Брыёну.
Settlements.Settlement.text.village_BE2_3	Уздоўж Ваверу цягнуцца рады вінаградных лазаў. Блізкая прэсная вада робіць ягады сакавітымі й насычанымі смакам. Хоць віно не супернічае з бардэлоскім, яно спатольвае смагу мясцовай шляхты.
Settlements.Settlement.text.castle_village_BE1_1	Даволі панурая вёска на паўночнай мяжы. Калі зомбі напалі на замак Грансэт, многія ўцекачы рушылі ў Манд, прывёўшы за сабою й некалькі зомбі. Напад адбілі, але ён пакінуў сьлед: дамы больш занядбаныя й пустыя, чым звычайна, а ў паветры яшчэ трымаецца слабы пах сьмерці.
Settlements.Settlement.text.castle_village_BE1_2	Мясцовая шляхта ахвотней наведвае Каліур, бо ён пастаўляе большасьці Брыёну аліўкі для страваў. Таму ў цяжкі час вёску абараняюць асабліва старанна.
Settlements.Settlement.text.castle_BE2	Замак Аўсгор — хутчэй вялізны шпіталь, чым проста крэпасьць. Унутры шляхта атрымлівае найлепшае лячэньне ад сьвятарак Шаліі, а звонку сяляне просяць дапамогі ў шматлікіх знахароў і лекараў, што зьбіраюцца сюды. Некаторыя скардзяцца на лячэньне пад адкрытым небам, але многія лекары лічаць, што такі падзел бароніць шляхетных пацыентаў і рассейвае ліхія міязмы, прынесеныя сялянамі.
Settlements.Settlement.text.castle_village_BE2_1	Удзень бляяньне мясцовых авечых статкаў заглушае амаль усе гукі. Фуа пастаўляе ў замак Аўсгор процьму бавоўны для павязак і матэрыялаў для чысткі.
Settlements.Settlement.text.castle_village_BE2_2	Сярод пакатых узгоркаў і зялёных палёў ляжыць Каломье, дзе паветра заўсёды пахне зёлкамі. Гэта маляўнічы прытулак з акуратнымі радамі траваў пад цёплым сонцам. Сяляне вельмі ганарацца сваім заняткам і з любоўю ды клопатам даглядаюць расьліны.
Settlements.Settlement.text.castle_village_BE3_1	Бійер атачаюць палі й пашы, а ўдалечыні ўзвышаецца замак Портэ — няспынны напамін пра фэадальны лад мясцовага жыцьця. Працавітыя й стойкія сяляне кормяцца зь зямлі й рамёстваў, удасканаленых пакаленьнямі.
